Area,X,Y
111,434.518,176.293
48,337.042,204.896
67,375.470,214.470
26,300.231,216.500
64,224.531,218.516
60,311.867,218.533
56,272.107,249.946
142,469.127,252.380
37,173.500,250.500
48,248.083,258.812
93,219.306,278.403
5,354.100,300.300
69,475.717,331.065
37,509.878,334.689
128,183.188,351.805
26,470.500,381.000
37,299.446,387.932
21,296.500,402.500
19,193.237,409.237
29,315.672,418.603
33,389.712,421.955
49,390.806,431.051
71,416.824,432.838
90,457.644,437.067
64,377.391,443.312
86,366.477,456.558
72,442.597,480.014
26,383.846,489.154
