Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,36.64068296993937,35.59268764241523,35.399765625006296,38.27940044897796,40.49809821489308,17.0,0.0,0.0,C04,0.294
55056.0,28,36.50749326214294,42.395815684094394,42.24905628847033,49.33412714172205,44.47022805683137,14.0,0.0,0.0,C04,0.169
94739.0,14,40.33065795277235,38.07536386335144,38.941005260728026,42.70589224335303,33.47982206746159,22.0,0.0,0.0,C04,0.227
79842.0,35,61.10602720771298,60.205524391710995,59.84396590953747,64.99540676845314,65.84821325811069,10.0,0.0,0.0,C04,0.345
51296.0,9,47.335849833969085,45.871228232547836,45.90677440405504,33.166871435050105,45.791632778734915,11.0,0.0,0.0,C04,0.93
46761.0,12,46.518879654954034,41.97902815307858,42.65496100873011,47.592488634053375,42.280932358289505,11.0,0.0,0.0,C04,0.269
37212.0,31,47.05308362264342,46.94445512347138,46.601216585007464,49.598478339307775,52.167259513069766,9.0,0.0,0.0,C04,0.387
43310.0,32,63.34811694441122,75.49640995935223,71.89477693207347,66.11532351860733,52.749728347318865,5.0,0.0,0.0,C04,0.564
46165.0,15,54.185020183228175,52.835791907581545,53.90531200236269,45.67040041221551,35.01265710487827,8.0,0.0,0.0,C04,0.742
101933.0,13,47.032760360122964,47.432451646224266,47.197134460106135,49.95479936669833,49.34957719606995,17.0,0.0,0.0,C04,0.33
58684.0,36,63.139361456223824,66.36645915835349,64.15862680560652,61.14354516588818,57.8485182757831,7.0,0.0,0.0,C04,0.553
23479.0,10,48.521477710744435,52.84221191569587,53.300427051865206,46.87587004954991,23.426457602125303,5.0,0.0,0.0,C04,0.663
32743.0,33,68.88068663061495,65.71523338518527,65.98966686848897,59.762080423255796,68.94267634040314,5.0,0.0,0.0,C04,0.62
