Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,36.128989840287744,36.799192411469534,35.5321853834353,38.27940044897796,51.608007426462414,17.0,0.0,0.0,D09,0.317
55056.0,28,44.38473163923048,42.78631306658057,42.32054155258203,49.33412714172205,34.62411992473733,14.0,0.0,0.0,D09,0.191
94739.0,14,39.39780583196962,38.83176017481444,38.861881515222066,42.70589224335303,38.863925387261396,22.0,0.0,0.0,D09,0.234
79842.0,35,56.224393267124626,60.3095366651739,60.519708720889255,64.99540676845314,88.27612413889925,10.0,0.0,0.0,D09,0.366
51296.0,9,41.38271093415471,46.75595289835656,46.02598070904704,33.166871435050105,48.659292313206564,11.0,0.0,0.0,D09,0.911
46761.0,12,43.55573461599473,42.73058009782531,42.617773032079306,47.592488634053375,26.611422659652746,11.0,0.0,0.0,D09,0.256
37212.0,31,48.25054570675482,47.377149708878235,46.037649651896146,49.598478339307775,40.09257828943304,9.0,0.0,0.0,D09,0.355
43310.0,32,73.1539967123768,74.24334653041537,72.7799152086045,66.11532351860733,53.424713632619635,5.0,0.0,0.0,D09,0.612
46165.0,15,53.45443598330286,53.32315121352141,53.45610289762408,45.67040041221551,43.538100404461,8.0,0.0,0.0,D09,0.713
101933.0,13,47.853086964055166,46.77888992609647,46.51955086574065,49.95479936669833,41.553712702254764,17.0,0.0,0.0,D09,0.304
58684.0,36,69.37535692912425,65.50603246628391,64.50513806193658,61.14354516588818,51.350422032564026,7.0,0.0,0.0,D09,0.595
23479.0,10,62.395424050780626,54.50693138942669,53.832148924131296,46.87587004954991,59.21126958339553,5.0,0.0,0.0,D09,0.672
32743.0,33,71.35884785608837,68.34231289655042,66.77362303624005,59.762080423255796,61.31069420608227,5.0,0.0,0.0,D09,0.656
37128.0,17,29.148147675156434,26.641105459340878,27.450629262422172,29.571534214066908,30.28659257226418,19.0,0.0,0.0,D09,0.287
66492.0,8,38.952523801459535,40.21506395510506,39.67236154230653,43.59729665870748,36.9448799855639,17.0,0.0,0.0,D09,0.261
96096.0,19,34.69269899863086,37.51971006901394,37.22126124169454,42.39241157324724,35.73943700660676,24.0,0.0,0.0,D09,0.127
46335.0,20,38.243321858024544,37.023258883212904,37.23437401298903,29.00754209767147,47.775093897491494,14.0,0.0,0.0,D09,0.88
42396.0,37,36.904746917271424,37.225998070250874,37.89657134689058,34.88770999695022,32.05922861880344,13.0,0.0,0.0,D09,0.669
79150.0,29,83.64173051324526,79.29616327529462,83.65813433266099,86.47547591048908,73.08894209218192,6.0,0.0,0.0,D09,0.46
74673.0,24,40.26654417569308,39.745480206991324,39.862767198282704,42.20516251647334,42.32971341590218,18.0,0.0,0.0,D09,0.347
44421.0,22,43.63688487895248,43.549597122043394,44.001571074846225,44.51481588068407,30.89475935583473,11.0,0.0,1.0,D09,0.474
37164.0,35,41.2239708436692,41.479248214505276,41.05337219058518,41.789195694754774,32.934176760076355,10.0,0.0,1.0,D09,0.491
42371.0,28,43.94679759870574,38.70938858418464,38.17621316182452,48.323796914207,47.424859564976025,13.0,0.0,1.0,D09,0.087
