Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,38.18126364278727,35.6402794985172,35.68336875891684,38.27940044897796,35.97348743536192,17.0,0.0,0.0,E05,0.312
55056.0,28,42.75167056995644,41.87724312148046,42.16227419564915,49.33412714172205,52.63125012409027,14.0,0.0,0.0,E05,0.177
94739.0,14,37.4431915956644,39.328147444976366,38.573336663125026,42.70589224335303,47.03586869238068,22.0,0.0,0.0,E05,0.196
79842.0,35,65.4807112441044,57.78639020666478,60.31800228291502,64.99540676845314,41.278562385166104,10.0,0.0,0.0,E05,0.336
51296.0,9,39.17884611090365,45.749639094555015,45.86058956109785,33.166871435050105,39.97200319174868,11.0,0.0,0.0,E05,0.911
46761.0,12,38.49226541727539,41.67344396462575,42.54886979788989,47.592488634053375,60.07570832081251,11.0,0.0,0.0,E05,0.255
37212.0,31,48.73654804380962,46.07490565937565,46.093708284175854,49.598478339307775,20.292034844637058,9.0,0.0,0.0,E05,0.357
43310.0,32,61.398586602519345,70.72652374934431,71.19301826574889,66.11532351860733,76.20617168758024,5.0,0.0,0.0,E05,0.578
46165.0,15,60.56984503600838,51.936378695203494,54.39623924412519,45.67040041221551,58.94749196707861,8.0,0.0,0.0,E05,0.741
101933.0,13,49.2579707939938,46.14657853055083,47.23287222801303,49.95479936669833,36.63436089853436,17.0,0.0,0.0,E05,0.35
58684.0,36,61.35283904171881,64.57300575113304,64.22410484353665,61.14354516588818,77.21901702739696,7.0,0.0,0.0,E05,0.594
23479.0,10,52.732029455498264,56.79550589174427,52.93568464404349,46.87587004954991,48.136140385987595,5.0,0.0,0.0,E05,0.65
32743.0,33,65.54438900148497,65.80297714646102,66.60734638616789,59.762080423255796,84.30841341610537,5.0,0.0,0.0,E05,0.632
37128.0,17,27.324415548110203,27.625542563723673,27.370625308738152,29.571534214066908,27.700633328576295,19.0,0.0,0.0,E05,0.296
66492.0,8,36.49472436923891,40.902884202591665,39.680338498994665,43.59729665870748,41.76024766825377,17.0,0.0,0.0,E05,0.299
96096.0,19,38.95925788961208,36.853473381459345,37.11491033817227,42.39241157324724,39.378966136400585,24.0,0.0,0.0,E05,0.117
46335.0,20,33.68557181156047,38.14939047723094,36.84170206264695,29.00754209767147,35.010473328255834,14.0,0.0,0.0,E05,0.871
42396.0,37,38.90218565882136,38.29283278901881,38.086636500260205,34.88770999695022,30.127038888737953,13.0,0.0,0.0,E05,0.683
79150.0,29,83.75754353865997,83.09390445779768,83.40116933836882,86.47547591048908,50.610979444558104,6.0,0.0,0.0,E05,0.442
74673.0,24,41.5275258696225,40.542299706054635,40.496459427012276,42.20516251647334,38.65588625028621,18.0,0.0,0.0,E05,0.372
44421.0,22,47.97284064697203,44.582312478641164,43.86005900237317,44.51481588068407,45.91229343000387,11.0,0.0,1.0,E05,0.469
37164.0,35,37.410831754946614,42.24594960098335,41.42419919330922,41.789195694754774,45.31429565351402,10.0,0.0,1.0,E05,0.501
42371.0,28,42.04256254500131,38.35876357535421,38.086571919117546,48.323796914207,18.82246216800644,13.0,0.0,1.0,E05,0.088
43446.0,6,38.374782848151135,43.79633299242759,41.843806176765135,39.15496963704857,31.321378455628068,11.0,0.0,1.0,E05,0.641
70945.0,19,35.344081244688674,35.14751101255833,35.60507416027636,45.17651216400624,39.02495410243812,21.0,0.0,1.0,E05,0.027
41366.0,17,38.026622642451386,38.53417751553034,39.73371963997271,31.52780854630139,28.78998183103513,12.0,0.0,1.0,E05,0.868
36746.0,13,27.692228692221345,27.02136942101016,27.496151709386854,28.2413106350478,24.68991693392712,18.0,0.0,1.0,E05,0.416
33680.0,16,41.5921494882726,44.21917084133575,41.96105717232947,47.15844871496831,52.554600398769665,10.0,0.0,1.0,E05,0.274
15748.0,25,89.94487626859441,81.34764136321888,82.11465248568999,99.38558548074543,106.0317779551511,3.0,0.0,1.0,E05,0.3
56112.0,9,37.97475255938205,38.307770534118404,39.39432581123739,42.45759540153028,48.11879049180252,15.0,0.0,1.0,E05,0.318
78179.0,12,36.27790872181358,36.15317707451599,35.741316202969365,34.456310137067405,39.408593890603036,23.0,0.0,1.0,E05,0.616
52815.0,30,28.466516692085378,28.596746077723143,28.688186189860012,26.658272087811195,27.673306337763076,24.0,0.0,1.0,E05,0.697
25718.0,21,36.40576387950712,34.51848474387723,35.15041717201617,44.84876884351268,34.24789414872232,10.0,0.0,1.0,E05,0.095
33019.0,29,44.30012301324702,42.45214690002781,42.1521740906944,35.89603937642379,36.18546974354377,9.0,0.0,1.0,E05,0.758
39799.0,36,40.38430872373064,41.04692111375905,40.33837643085576,34.94229198300342,40.34045825273414,11.0,0.0,1.0,E05,0.742
18301.0,24,28.095245777468797,28.00039562989207,27.781988004034893,26.61406631039534,24.599952948365697,12.0,0.0,1.0,E05,0.572
17553.0,27,61.03791859711621,61.55758167571503,65.25517136603234,56.01110491313167,58.28343081036044,4.0,0.0,1.0,E05,0.648
44988.0,32,36.90960146688796,38.20516255582089,36.48924451990072,44.2527874527817,46.55035077991918,14.0,0.0,1.0,E05,0.118
57083.0,33,32.97979495325079,39.23497126063065,39.340658916129044,44.878844824584576,32.1285906732455,15.0,0.0,1.0,E05,0.199
44668.0,8,46.49033142181019,46.56756439744424,45.55892679700039,55.56384635519329,48.63044991984284,10.0,0.0,1.0,E05,0.14
37188.0,14,28.70848587977137,30.339313977517694,29.93686129969442,32.044097181768606,32.929531102380764,16.0,0.0,1.0,E05,0.316
27748.0,26,35.353459431466085,33.32971672600558,34.110150259182966,34.942233707299486,32.47219410063089,11.0,0.0,1.0,E05,0.447
52100.0,17,76.89132285424938,69.1874490737494,69.89745732466606,81.8069627612649,39.390856953338506,6.0,0.0,2.0,E05,0.27
32904.0,25,41.299825637737285,45.19822448945531,44.837778617762986,53.4286759207235,47.48974387934467,9.0,0.0,2.0,E05,0.182
52814.0,20,55.36952333313817,62.24674211061837,63.273880320155484,81.63418940746578,63.66515706756415,7.0,0.0,2.0,E05,0.128
55472.0,21,48.83451272393477,47.04156616380347,45.78083472353312,58.540263707605575,55.2981935725098,11.0,0.0,2.0,E05,0.061
31362.0,23,104.90397954187858,103.51991900876907,102.41165034271836,154.16909991580792,77.66377047893516,3.0,0.0,2.0,E05,0.139
40783.0,15,56.09773235571934,59.13806638015156,55.19211265246263,53.988332797522716,73.68746370101564,8.0,0.0,2.0,E05,0.534
63554.0,29,41.22154721709779,42.05617281933678,41.504053591395625,53.70077716692197,41.424199497934374,15.0,0.0,2.0,E05,0.029
