Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,35.97407414136664,35.67771915457502,35.510785160278,38.27940044897796,26.70991232896564,17.0,0.0,0.0,F04,0.308
55056.0,28,41.067823021927616,42.150909948949746,42.14956214951703,49.33412714172205,40.2337488881567,14.0,0.0,0.0,F04,0.18
94739.0,14,38.96179840607543,37.86323486276565,38.836947218699414,42.70589224335303,47.18253643485547,22.0,0.0,0.0,F04,0.224
79842.0,35,56.23343041215511,61.45916408333756,60.10067454695877,64.99540676845314,36.980808711543105,10.0,0.0,0.0,F04,0.343
51296.0,9,40.474922047951054,47.28583795475425,46.37223378079944,33.166871435050105,50.03543903232087,11.0,0.0,0.0,F04,0.933
46761.0,12,40.14983176254399,42.98741458478643,43.04826819394681,47.592488634053375,32.81745149195132,11.0,0.0,0.0,F04,0.287
37212.0,31,47.20341527601473,47.05011702464908,46.44339407242804,49.598478339307775,53.17102272095363,9.0,0.0,0.0,F04,0.363
43310.0,32,83.57056835448569,71.4294718882871,71.99830579051937,66.11532351860733,93.08917302146324,5.0,0.0,0.0,F04,0.607
46165.0,15,55.72312124065004,54.42349791581572,54.083739181883224,45.67040041221551,55.93501920301533,8.0,0.0,0.0,F04,0.749
101933.0,13,48.74488651477584,46.202173388799835,46.80172842037774,49.95479936669833,44.06453972176807,17.0,0.0,0.0,F04,0.317
58684.0,36,62.843065383097496,65.76866304779061,63.37374593513173,61.14354516588818,54.63638685707822,7.0,0.0,0.0,F04,0.558
23479.0,10,62.17793879266676,53.65967912238489,53.297934291339594,46.87587004954991,32.299143550285535,5.0,0.0,0.0,F04,0.662
32743.0,33,57.450836249375186,66.75702297534579,66.64003033909053,59.762080423255796,80.9032463875618,5.0,0.0,0.0,F04,0.633
37128.0,17,29.053935621203028,27.625779389329296,27.357362672293313,29.571534214066908,25.075086523583597,19.0,0.0,0.0,F04,0.295
66492.0,8,42.18922395310482,39.51530775020049,39.6242968360143,43.59729665870748,39.784233438197305,17.0,0.0,0.0,F04,0.265
