Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,Number_of_pbodies_in_Nucleus,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,34.302464337940265,34.6583966742726,35.69199448453182,38.27940044897796,40.68562256551383,17.0,0.0,0.0,0.0,C07,0.304
55056.0,28,43.76173241881448,44.70517050322262,43.8691822548173,47.99592134625364,54.220116307179346,13.0,1.0,0.0,0.0,C07,0.316
94739.0,14,40.84555959739317,40.383784103053785,40.15907794279375,41.03561349634507,45.829743903227914,21.0,1.0,0.0,0.0,C07,0.449
79842.0,35,53.52624310797448,58.20160277264778,60.9017854015324,64.99540676845314,60.887618343999236,10.0,0.0,0.0,0.0,C07,0.358
51296.0,9,48.84518776199484,44.1067533167758,46.2501734476992,33.166871435050105,37.04167264178468,11.0,0.0,0.0,0.0,C07,0.923
46761.0,12,48.71064660114557,45.37407734123154,45.27344551707011,47.8328880863807,59.973378621154026,10.0,1.0,0.0,0.0,C07,0.397
37212.0,31,57.37797291665694,50.30956662931064,50.46450471540009,60.38404397131118,48.628724165009274,8.0,1.0,0.0,0.0,C07,0.196
43310.0,32,76.47291060882444,75.70899096511609,73.85596118071297,66.11532351860733,40.8149486017618,5.0,0.0,0.0,0.0,C07,0.634
46165.0,15,79.50374157942635,77.77872859009183,75.93669547003798,86.09424279107647,107.48007302073616,5.0,3.0,0.0,0.0,C07,0.33
101933.0,13,46.484915363553014,50.080502889125064,48.56754590306738,49.912227101823945,39.72644940102566,16.0,1.0,0.0,0.0,C07,0.427
58684.0,36,72.82335188755277,63.84574663441613,64.49211538386672,61.14354516588818,65.55502632811421,7.0,0.0,0.0,0.0,C07,0.571
23479.0,10,51.92996030472379,54.58126460999801,53.25198480810548,46.87587004954991,37.17763182318191,5.0,0.0,0.0,0.0,C07,0.651
32743.0,33,67.86705433160236,65.48903658778009,65.5595246822512,59.762080423255796,76.77656589359526,5.0,0.0,0.0,0.0,C07,0.62
37128.0,17,37.478395273570655,31.805110954269253,31.707792933684182,32.15591582960236,30.067515395823936,15.0,4.0,0.0,0.0,C07,0.453
66492.0,8,39.69558690480771,38.810115316914896,39.311150984856404,43.59729665870748,37.38576134117334,17.0,0.0,0.0,0.0,C07,0.244
96096.0,19,39.274655158216966,37.383650971413026,38.10914418520812,42.681654242223594,40.207099091781636,23.0,1.0,0.0,0.0,C07,0.174
46335.0,20,40.54658334000687,43.12161881084103,41.00162853800912,33.20865548812413,56.293199488183454,12.0,2.0,0.0,0.0,C07,0.83
42396.0,37,42.894171551985046,43.27555748284439,42.64864428252033,40.55861166977304,38.28786284295716,11.0,2.0,0.0,0.0,C07,0.597
79150.0,29,81.99437284686596,81.54492624234727,83.40170653017407,86.47547591048908,74.26794396461004,6.0,0.0,0.0,0.0,C07,0.455
74673.0,24,44.790740384257255,44.40132545076513,43.21908161635609,44.664605792339486,37.72017223365355,16.0,2.0,0.0,0.0,C07,0.43
44421.0,22,51.45731584729042,50.7676228342123,50.9026321607854,47.45457850205059,52.44884924117044,9.0,2.0,0.0,1.0,C07,0.622
37164.0,35,47.00250003630017,43.32876911032031,43.55878450368352,43.96385557503779,53.45257934453526,9.0,1.0,0.0,1.0,C07,0.497
42371.0,28,43.34408323156451,41.48749162766057,40.22546779463512,46.18596539703071,29.08668052365773,12.0,1.0,0.0,1.0,C07,0.232
43446.0,6,39.86159092178326,42.33763444113327,42.476073383727346,39.15496963704857,36.26268116588745,11.0,0.0,0.0,1.0,C07,0.652
70945.0,19,39.412614502343544,37.43014903134509,36.44543449560916,45.57813486098199,39.92425031840126,20.0,1.0,0.0,1.0,C07,0.035
41366.0,17,42.58313399147389,41.77024508906791,41.461664926905854,31.029108318997565,34.66684152325959,11.0,1.0,0.0,1.0,C07,0.898
36746.0,13,31.470012231569257,34.35226381844961,33.94788760756106,27.645370663590032,30.766853532472343,13.0,5.0,0.0,1.0,C07,0.869
33680.0,16,39.30660188094393,42.50047785088408,42.09770527050733,47.15844871496831,48.89952456199562,10.0,0.0,0.0,1.0,C07,0.296
15748.0,25,84.26929851551081,82.9306008837622,81.17250128963086,99.38558548074543,63.11047100867918,3.0,0.0,0.0,1.0,C07,0.3
56112.0,9,48.967251812800114,48.19731226753447,48.339770403094235,46.798589404797575,38.223092059192126,11.0,4.0,0.0,1.0,C07,0.562
78179.0,12,48.24542940036336,44.630484145143726,45.019523785429186,39.251675656085006,36.98599322653249,16.0,7.0,0.0,1.0,C07,0.774
52815.0,30,28.402415169604403,28.714649928899654,28.642257456920436,26.658272087811195,27.98670773228658,24.0,0.0,0.0,1.0,C07,0.69
25718.0,21,35.062703632900615,34.16942115819006,35.39216190322446,44.84876884351268,25.089274838491725,10.0,0.0,0.0,1.0,C07,0.094
33019.0,29,62.640395590397794,53.714325577656794,56.94216235656019,37.64249112362695,48.39901977811359,6.0,3.0,0.0,1.0,C07,0.885
39799.0,36,48.36615567960162,45.662614687155575,46.46409955892686,41.5898522406657,53.95286717770578,9.0,2.0,0.0,1.0,C07,0.698
18301.0,24,33.76201950454339,33.552693248398334,34.12656935386111,33.61462741245158,31.54950433768713,9.0,3.0,0.0,1.0,C07,0.523
17553.0,27,72.77953021329742,84.08813424028912,82.59761535526577,74.51020908314895,194.34787385425656,3.0,1.0,0.0,1.0,C07,0.581
44988.0,32,43.75078104532379,39.48530020646713,40.20414852501593,42.649842368790296,33.128950341782335,12.0,2.0,0.0,1.0,C07,0.357
57083.0,33,39.52948306564167,39.29539892876762,39.24621826819215,44.878844824584576,39.25865988500888,15.0,0.0,0.0,1.0,C07,0.201
44668.0,8,45.79299785484322,50.37441669825107,49.25307064469252,52.38775395625414,36.41408174614749,9.0,1.0,0.0,1.0,C07,0.391
37188.0,14,35.111235996285785,34.722184467538774,34.38695060478686,35.86602981931425,40.012322841998724,13.0,3.0,0.0,1.0,C07,0.411
27748.0,26,37.72493491697573,35.12258796347023,36.10593550109763,32.750509487697634,42.25440129108771,10.0,1.0,0.0,1.0,C07,0.649
