Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,Number_of_pbodies_in_Nucleus,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,34.367169216906895,36.061513855570205,35.67072846857759,38.27940044897796,40.01901360432747,17.0,0.0,0.0,0.0,D04,0.317
55056.0,28,42.21466929034078,43.53075726885654,44.15861197381783,47.99592134625364,53.318693684609066,13.0,1.0,0.0,0.0,D04,0.343
94739.0,14,38.07662797939,39.60850681939362,40.199306710250255,41.03561349634507,38.905322177178085,21.0,1.0,0.0,0.0,D04,0.45
79842.0,35,63.44722226929993,60.964915224131715,60.60039465242009,64.99540676845314,58.50778163367919,10.0,0.0,0.0,0.0,D04,0.349
51296.0,9,45.907408183112615,47.66171314674782,46.612322439279225,33.166871435050105,54.46028393671388,11.0,0.0,0.0,0.0,D04,0.921
46761.0,12,46.94511198991164,45.093233070679055,45.367969902524536,47.8328880863807,46.649360945431084,10.0,1.0,0.0,0.0,D04,0.393
37212.0,31,51.12329616044961,50.97967475730101,49.91314136942147,60.38404397131118,35.844215808239944,8.0,1.0,0.0,0.0,D04,0.183
43310.0,32,60.74285300390858,74.43965713422804,73.23081203474054,66.11532351860733,90.00079092353474,5.0,0.0,0.0,0.0,D04,0.613
46165.0,15,74.03553370477,77.10847502603755,78.18959221716254,86.09424279107647,101.32971319314595,5.0,3.0,0.0,0.0,D04,0.383
101933.0,13,49.58991683105264,48.536426494280455,48.72586146969572,49.912227101823945,48.78387046058121,16.0,1.0,0.0,0.0,D04,0.433
58684.0,36,62.96610556900746,65.97520205676092,63.72105570575072,61.14354516588818,81.07552936239547,7.0,0.0,0.0,0.0,D04,0.565
23479.0,10,59.20331261379473,53.06829024638907,53.54007491079164,46.87587004954991,77.96406963789757,5.0,0.0,0.0,0.0,D04,0.669
