Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_10,Mean_Of_mean_nn_distances_simulated_100,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Number_of_pbodies,Number_of_pbodies_in_Nucleus,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
52160.0,27,39.3861538677185,36.14044948530043,35.62594655457655,38.27940044897796,32.57219808024948,17.0,0.0,0.0,0.0,F07,0.312
55056.0,28,47.327173485375546,44.964450405803845,44.123126388533635,47.99592134625364,53.14069693277889,13.0,1.0,0.0,0.0,F07,0.331
94739.0,14,40.25054970419181,39.38182416270396,39.843635743209916,41.03561349634507,40.75059724608254,21.0,1.0,0.0,0.0,F07,0.409
79842.0,35,60.45718594585139,59.26136477809854,60.643313377087246,64.99540676845314,70.77202225914323,10.0,0.0,0.0,0.0,F07,0.362
51296.0,9,42.66647938982733,46.50989755433327,46.399384436350324,33.166871435050105,51.09408175876069,11.0,0.0,0.0,0.0,F07,0.928
46761.0,12,46.83525597081996,44.09890575725617,45.55658614343904,47.8328880863807,38.22043185675945,10.0,1.0,0.0,0.0,F07,0.41
37212.0,31,47.62693477137974,50.7795062567129,49.751906592223506,60.38404397131118,60.852384531338316,8.0,1.0,0.0,0.0,F07,0.186
43310.0,32,83.26272425808645,71.84733877931095,72.17515281130775,66.11532351860733,96.48869547700487,5.0,0.0,0.0,0.0,F07,0.611
46165.0,15,65.99385813774488,78.7040957062425,78.69033820402069,86.09424279107647,37.873075869303634,5.0,3.0,0.0,0.0,F07,0.392
101933.0,13,46.65416714249987,47.62569067633117,48.941761861274585,49.912227101823945,54.29578886385886,16.0,1.0,0.0,0.0,F07,0.446
58684.0,36,62.493940768048105,63.88638707368082,65.26609131962081,61.14354516588818,67.23741760087464,7.0,0.0,0.0,0.0,F07,0.616
23479.0,10,52.641174618434604,54.797094337050076,53.021485131374796,46.87587004954991,80.68157153091877,5.0,0.0,0.0,0.0,F07,0.637
32743.0,33,70.60335650202761,65.06404968731137,65.62714012211002,59.762080423255796,77.44818756356109,5.0,0.0,0.0,0.0,F07,0.615
37128.0,17,32.42935248247237,30.47682720752773,31.693834698951175,32.15591582960236,30.46406005940552,15.0,4.0,0.0,0.0,F07,0.451
66492.0,8,38.62010581443175,39.27256285843912,39.41028010184773,43.59729665870748,36.01185987396885,17.0,0.0,0.0,0.0,F07,0.251
96096.0,19,38.16635977685216,37.54432165928692,37.92335566586614,42.681654242223594,35.85853922424843,23.0,1.0,0.0,0.0,F07,0.157
46335.0,20,35.92714886324545,40.767316983531686,41.287978498959276,33.20865548812413,36.68624038277931,12.0,2.0,0.0,0.0,F07,0.831
42396.0,37,37.948199366735125,44.60093268767551,42.97931238860963,40.55861166977304,33.826222718769074,11.0,2.0,0.0,0.0,F07,0.617
79150.0,29,77.83299620414633,85.28034273566495,83.02958910482849,86.47547591048908,110.72916579614427,6.0,0.0,0.0,0.0,F07,0.427
74673.0,24,45.43775103653939,42.41701908463565,43.24548356689304,44.664605792339486,42.8733843889302,16.0,2.0,0.0,0.0,F07,0.412
44421.0,22,51.95671852587649,53.73826741542537,50.440011609115345,47.45457850205059,55.21599753224761,9.0,2.0,0.0,1.0,F07,0.601
37164.0,35,40.761743334287516,44.00804608051343,44.01689746256129,43.96385557503779,49.15446347055737,9.0,1.0,0.0,1.0,F07,0.511
42371.0,28,39.835923804256275,40.017239226493416,40.65967223882052,46.18596539703071,39.0752897955547,12.0,1.0,0.0,1.0,F07,0.235
43446.0,6,40.11244550169212,41.26191894185069,42.57248289989113,39.15496963704857,46.90734501809096,11.0,0.0,0.0,1.0,F07,0.659
70945.0,19,35.78777262610975,35.92118339440094,36.480536927360305,45.57813486098199,35.40779620647835,20.0,1.0,0.0,1.0,F07,0.032
41366.0,17,43.63547821456941,40.96299356930038,41.53359043638926,31.029108318997565,39.37557863136322,11.0,1.0,0.0,1.0,F07,0.909
36746.0,13,33.78022827376561,34.0231231345943,33.86969660537383,27.645370663590032,38.733941204240985,13.0,5.0,0.0,1.0,F07,0.869
33680.0,16,43.35691635287576,42.60982327331498,42.19468549185503,47.15844871496831,51.29812894018822,10.0,0.0,0.0,1.0,F07,0.282
15748.0,25,91.7963201357032,86.08152291040754,81.27022008986933,99.38558548074543,105.12846309383478,3.0,0.0,0.0,1.0,F07,0.297
56112.0,9,40.76217812909048,48.24032869131113,48.093615888543034,46.798589404797575,46.50290665040164,11.0,4.0,0.0,1.0,F07,0.561
78179.0,12,42.011946791803936,45.06726622400467,44.863330828326085,39.251675656085006,40.19377234759776,16.0,7.0,0.0,1.0,F07,0.783
52815.0,30,28.920400195517345,28.44634906912885,28.65092201765531,26.658272087811195,37.0760645228352,24.0,0.0,0.0,1.0,F07,0.687
25718.0,21,36.35699680077553,34.14529113452315,34.96476212697354,44.84876884351268,42.95603425564227,10.0,0.0,0.0,1.0,F07,0.083
33019.0,29,57.515651217560205,55.4290263426564,56.86440031211734,37.64249112362695,54.07330640411968,6.0,3.0,0.0,1.0,F07,0.89
39799.0,36,52.32515957437367,45.422537020375046,45.734915370529166,41.5898522406657,52.684126834030465,9.0,2.0,0.0,1.0,F07,0.648
18301.0,24,34.72555405352643,32.46159991255193,33.911581579870095,33.61462741245158,37.20909373741534,9.0,3.0,0.0,1.0,F07,0.508
17553.0,27,79.02807955182496,84.40954057918978,84.04813320523964,74.51020908314895,55.46596320283675,3.0,1.0,0.0,1.0,F07,0.593
44988.0,32,40.69106877567251,40.907492884467935,40.5404273518073,42.649842368790296,56.40557037106806,12.0,2.0,0.0,1.0,F07,0.384
57083.0,33,39.373739895194156,39.45074347972431,39.25351421626849,44.878844824584576,34.47656292893615,15.0,0.0,0.0,1.0,F07,0.189
44668.0,8,52.4942385241943,49.96534239300439,49.213890406962896,52.38775395625414,39.48562736898159,9.0,1.0,0.0,1.0,F07,0.405
37188.0,14,33.75021666807995,34.75868335057778,34.08381311284079,35.86602981931425,38.582459859537686,13.0,3.0,0.0,1.0,F07,0.37
27748.0,26,30.88216790601306,36.063041825503404,36.12549104169025,32.750509487697634,49.198728838436864,10.0,1.0,0.0,1.0,F07,0.664
52100.0,17,76.2634622833223,70.35552785745088,69.53872688239419,81.8069627612649,61.680717001005064,6.0,0.0,0.0,2.0,F07,0.27
32904.0,25,46.231633987741624,44.75057827605255,45.230001006619325,53.4286759207235,43.75188079811727,9.0,0.0,0.0,2.0,F07,0.205
