Area_of_Cytoplasm,Label,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_around_simulated_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well
52160.0,27,58.514881865602945,52.9353372831176,46.71610429447853,17.0,0.0,0.0,C05
55056.0,28,51.01375176304654,58.39122456152761,51.53946890438826,14.0,0.0,0.0,C05
94739.0,14,54.185152057245084,50.86736958849028,42.76369816020857,22.0,0.0,0.0,C05
79842.0,35,47.18269653052262,53.31178024631492,45.72018486510859,10.0,0.0,0.0,C05
51296.0,9,48.56749311294766,53.25300425117689,44.43990642362803,11.0,0.0,0.0,C05
46761.0,12,44.715030408340574,51.313724187766276,45.18446996428648,11.0,0.0,0.0,C05
37212.0,31,66.41468005018821,62.84709908084271,52.68034504998388,9.0,0.0,0.0,C05
43310.0,32,63.859911894273125,61.33450123403256,52.91514661740938,5.0,0.0,0.0,C05
46165.0,15,62.43082021541011,54.34635904337278,46.681663597963826,8.0,0.0,0.0,C05
101933.0,13,52.24904423812124,51.38013725706335,43.04077187956795,17.0,0.0,0.0,C05
58684.0,36,44.71734475374733,51.83687978511085,44.50599822779633,7.0,0.0,0.0,C05
23479.0,10,63.55467869222097,76.32779460554302,60.79892670045572,5.0,0.0,0.0,C05
32743.0,33,61.13993871297242,58.27187102379224,49.284427205814985,5.0,0.0,0.0,C05
37128.0,17,62.29066575154427,57.62829546878191,48.828619909502265,19.0,0.0,0.0,C05
66492.0,8,52.41071902361369,52.8466656058116,46.45567887866209,17.0,0.0,0.0,C05
96096.0,19,53.0906781317178,54.996841626681096,47.38010947385948,24.0,0.0,0.0,C05
46335.0,20,61.56185012549301,57.85389223808817,50.58974857019532,14.0,0.0,0.0,C05
42396.0,37,54.71212121212121,59.27869880244329,50.93055948674403,13.0,0.0,0.0,C05
79150.0,29,41.396534148827726,57.69602277192586,48.487983320697495,6.0,0.0,0.0,C05
74673.0,24,57.69698692438886,58.60113102006832,52.210450899254084,18.0,0.0,0.0,C05
