Area_of_Cytoplasm,Label,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_around_simulated_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well
52160.0,27,58.514881865602945,53.21323328363905,46.71610429447853,17.0,0.0,0.0,D08
55056.0,28,51.01375176304654,58.608259871581225,51.53946890438826,14.0,0.0,0.0,D08
94739.0,14,54.185152057245084,50.809495361993456,42.76369816020857,22.0,0.0,0.0,D08
79842.0,35,47.18269653052262,53.95767800141971,45.72018486510859,10.0,0.0,0.0,D08
51296.0,9,48.56749311294766,52.0207316862283,44.43990642362803,11.0,0.0,0.0,D08
46761.0,12,44.715030408340574,52.003508757836286,45.18446996428648,11.0,0.0,0.0,D08
37212.0,31,66.41468005018821,63.49159814778328,52.68034504998388,9.0,0.0,0.0,D08
43310.0,32,63.859911894273125,59.66456213659873,52.91514661740938,5.0,0.0,0.0,D08
46165.0,15,62.43082021541011,54.163547793153114,46.681663597963826,8.0,0.0,0.0,D08
101933.0,13,52.24904423812124,52.34644195819933,43.04077187956795,17.0,0.0,0.0,D08
58684.0,36,44.71734475374733,52.20240828042895,44.50599822779633,7.0,0.0,0.0,D08
23479.0,10,63.55467869222097,76.3796857334387,60.79892670045572,5.0,0.0,0.0,D08
32743.0,33,61.13993871297242,56.76671162069026,49.284427205814985,5.0,0.0,0.0,D08
37128.0,17,62.29066575154427,56.93513916973573,48.828619909502265,19.0,0.0,0.0,D08
66492.0,8,52.41071902361369,52.17464135773522,46.45567887866209,17.0,0.0,0.0,D08
96096.0,19,53.0906781317178,55.24632668285396,47.38010947385948,24.0,0.0,0.0,D08
46335.0,20,61.56185012549301,58.21081557885749,50.58974857019532,14.0,0.0,0.0,D08
42396.0,37,54.71212121212121,59.16068493822106,50.93055948674403,13.0,0.0,0.0,D08
79150.0,29,41.396534148827726,56.7103044753229,48.487983320697495,6.0,0.0,0.0,D08
74673.0,24,57.69698692438886,59.60717572333266,52.210450899254084,18.0,0.0,0.0,D08
44421.0,22,63.320454545454545,64.37272102633361,56.11134373381959,11.0,0.0,1.0,D08
37164.0,35,52.437361419068736,59.904457278108396,55.46722634807879,10.0,0.0,1.0,D08
42371.0,28,62.86604127579737,66.15232277644566,61.04019448181453,13.0,0.0,1.0,D08
43446.0,6,61.3413612565445,59.546797202521844,48.97649956267551,11.0,0.0,1.0,D08
70945.0,19,50.17744497390515,54.64282856201349,48.92503946774921,21.0,0.0,1.0,D08
41366.0,17,72.13285457809695,62.08575353774886,55.18314557849442,12.0,0.0,1.0,D08
36746.0,13,57.13131313131313,57.274204865342,48.07500340182338,18.0,0.0,1.0,D08
33680.0,16,67.03754469606675,60.402974866763664,51.35573040380047,10.0,0.0,1.0,D08
15748.0,25,57.40625,64.75720861718577,58.226568453136906,3.0,0.0,1.0,D08
56112.0,9,55.47240051347882,53.62083710044263,44.107570573139434,15.0,0.0,1.0,D08
78179.0,12,58.36831275720164,59.28100132786354,49.112034999744154,23.0,0.0,1.0,D08
52815.0,30,55.29396511079679,56.06899412099996,51.711862160371105,24.0,0.0,1.0,D08
25718.0,21,60.456112852664575,60.86254902893228,53.27890971304145,10.0,0.0,1.0,D08
33019.0,29,71.70028275212064,76.8188772767845,66.31996729155941,9.0,0.0,1.0,D08
39799.0,36,85.47659126775382,77.400525598172,64.71823412648558,11.0,0.0,1.0,D08
18301.0,24,58.41291585127202,71.08050509632635,67.30736025353806,12.0,0.0,1.0,D08
17553.0,27,57.5821325648415,69.22954566159338,65.05360906967469,4.0,0.0,1.0,D08
44988.0,32,64.47364341085272,63.49421938853491,57.00720192051214,14.0,0.0,1.0,D08
57083.0,33,45.743964421855146,48.7467977081842,44.00818106967048,15.0,0.0,1.0,D08
44668.0,8,56.859078590785906,53.226530362453495,47.36345929972239,10.0,0.0,1.0,D08
37188.0,14,56.38967786629719,55.65336915540376,46.007932666451545,16.0,0.0,1.0,D08
27748.0,26,72.93662628145387,74.1653360993675,66.71658737024221,11.0,0.0,1.0,D08
52100.0,17,51.87835926449788,49.580186320288256,43.15270633397313,6.0,0.0,2.0,D08
32904.0,25,46.86946107784431,49.97570029115782,45.991080941219444,9.0,0.0,2.0,D08
52814.0,20,62.20949263502455,56.070292640240886,52.196614534025066,7.0,0.0,2.0,D08
55472.0,21,42.709377901578456,46.18830859301304,41.28637888131559,11.0,0.0,2.0,D08
