Area_of_Cytoplasm,Label,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_around_simulated_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well
52160.0,27,58.514881865602945,53.343404727990894,46.71610429447853,17.0,0.0,0.0,F08
55056.0,28,51.01375176304654,57.852042994782984,51.53946890438826,14.0,0.0,0.0,F08
94739.0,14,54.185152057245084,50.70807389412087,42.76369816020857,22.0,0.0,0.0,F08
79842.0,35,47.18269653052262,54.16478597527287,45.72018486510859,10.0,0.0,0.0,F08
51296.0,9,48.56749311294766,52.880261152657255,44.43990642362803,11.0,0.0,0.0,F08
46761.0,12,44.715030408340574,51.92682199958935,45.18446996428648,11.0,0.0,0.0,F08
37212.0,31,66.41468005018821,64.34932464492033,52.68034504998388,9.0,0.0,0.0,F08
43310.0,32,63.859911894273125,61.28375997840201,52.91514661740938,5.0,0.0,0.0,F08
46165.0,15,62.43082021541011,53.550988402958474,46.681663597963826,8.0,0.0,0.0,F08
101933.0,13,52.24904423812124,51.9361367569729,43.04077187956795,17.0,0.0,0.0,F08
58684.0,36,44.71734475374733,51.76757115259208,44.50599822779633,7.0,0.0,0.0,F08
23479.0,10,63.55467869222097,77.66420051247657,60.79892670045572,5.0,0.0,0.0,F08
32743.0,33,61.13993871297242,59.350079417017426,49.284427205814985,5.0,0.0,0.0,F08
37128.0,17,62.29066575154427,57.00601058106044,48.828619909502265,19.0,0.0,0.0,F08
66492.0,8,52.41071902361369,52.02024938324776,46.45567887866209,17.0,0.0,0.0,F08
96096.0,19,53.0906781317178,55.093008122703175,47.38010947385948,24.0,0.0,0.0,F08
46335.0,20,61.56185012549301,57.34811059774881,50.58974857019532,14.0,0.0,0.0,F08
42396.0,37,54.71212121212121,60.98254738829114,50.93055948674403,13.0,0.0,0.0,F08
79150.0,29,41.396534148827726,56.99170720570127,48.487983320697495,6.0,0.0,0.0,F08
74673.0,24,57.69698692438886,59.55417999395811,52.210450899254084,18.0,0.0,0.0,F08
44421.0,22,63.320454545454545,64.67492073287441,56.11134373381959,11.0,0.0,1.0,F08
37164.0,35,52.437361419068736,59.844291854040556,55.46722634807879,10.0,0.0,1.0,F08
42371.0,28,62.86604127579737,65.80635803178967,61.04019448181453,13.0,0.0,1.0,F08
43446.0,6,61.3413612565445,59.62230362658962,48.97649956267551,11.0,0.0,1.0,F08
70945.0,19,50.17744497390515,54.70889844124031,48.92503946774921,21.0,0.0,1.0,F08
41366.0,17,72.13285457809695,61.79446254873769,55.18314557849442,12.0,0.0,1.0,F08
36746.0,13,57.13131313131313,56.86894366620094,48.07500340182338,18.0,0.0,1.0,F08
33680.0,16,67.03754469606675,59.752349308620275,51.35573040380047,10.0,0.0,1.0,F08
15748.0,25,57.40625,65.41089080600005,58.226568453136906,3.0,0.0,1.0,F08
56112.0,9,55.47240051347882,53.7954285284047,44.107570573139434,15.0,0.0,1.0,F08
78179.0,12,58.36831275720164,58.764083355864415,49.112034999744154,23.0,0.0,1.0,F08
52815.0,30,55.29396511079679,56.419159023818345,51.711862160371105,24.0,0.0,1.0,F08
25718.0,21,60.456112852664575,60.48188335382586,53.27890971304145,10.0,0.0,1.0,F08
33019.0,29,71.70028275212064,75.39810543490825,66.31996729155941,9.0,0.0,1.0,F08
39799.0,36,85.47659126775382,77.54585909517584,64.71823412648558,11.0,0.0,1.0,F08
18301.0,24,58.41291585127202,71.84057894330391,67.30736025353806,12.0,0.0,1.0,F08
17553.0,27,57.5821325648415,69.13958642581473,65.05360906967469,4.0,0.0,1.0,F08
44988.0,32,64.47364341085272,64.01049952471506,57.00720192051214,14.0,0.0,1.0,F08
57083.0,33,45.743964421855146,49.142143649146995,44.00818106967048,15.0,0.0,1.0,F08
44668.0,8,56.859078590785906,52.73207485220144,47.36345929972239,10.0,0.0,1.0,F08
37188.0,14,56.38967786629719,55.67183833546443,46.007932666451545,16.0,0.0,1.0,F08
27748.0,26,72.93662628145387,74.3771211283727,66.71658737024221,11.0,0.0,1.0,F08
52100.0,17,51.87835926449788,50.032758619929055,43.15270633397313,6.0,0.0,2.0,F08
32904.0,25,46.86946107784431,50.45170438962916,45.991080941219444,9.0,0.0,2.0,F08
52814.0,20,62.20949263502455,58.071545579875554,52.196614534025066,7.0,0.0,2.0,F08
55472.0,21,42.709377901578456,45.859247086795534,41.28637888131559,11.0,0.0,2.0,F08
31362.0,23,53.552742616033754,63.061154686473444,55.74886805688413,3.0,0.0,2.0,F08
40783.0,15,47.58767507002801,53.49465445660709,47.14449648137705,8.0,0.0,2.0,F08
63554.0,29,46.7137669197755,54.55377571580103,46.89561632627372,15.0,0.0,2.0,F08
