Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
54289.0,27,37.616995138432394,38.27940044897796,40.81975849657804,58.514881865602945,46.71610429447853,17.0,0.0,0.0,C12,0.456
57163.0,28,43.59146196339675,49.33412714172205,41.34254561207289,51.01375176304654,51.53946890438826,14.0,0.0,0.0,C12,0.218
96966.0,14,40.85279029431024,42.70589224335303,35.192832507139336,54.185152057245084,42.76369816020857,22.0,0.0,0.0,C12,0.35
81982.0,35,61.443162333813184,64.99540676845314,48.580912115095465,47.18269653052262,45.72018486510859,10.0,0.0,0.0,C12,0.384
53229.0,9,48.0590428051612,33.166871435050105,38.40112320883324,48.56749311294766,44.43990642362803,11.0,0.0,0.0,C12,0.944
48701.0,12,44.467979530721585,47.592488634053375,36.64074052659726,44.715030408340574,45.18446996428648,11.0,0.0,0.0,C12,0.349
39019.0,31,46.96849978611128,49.598478339307775,59.930340328591164,66.41468005018821,52.68034504998388,9.0,0.0,0.0,C12,0.404
45829.0,32,75.41835458301277,66.11532351860733,84.32300407176562,63.859911894273125,52.91514661740938,5.0,0.0,0.0,C12,0.671
48002.0,15,55.53078052556928,45.67040041221551,56.92237261940677,62.43082021541011,46.681663597963826,8.0,0.0,0.0,C12,0.788
104304.0,13,49.064446800986914,49.95479936669833,43.917635863560584,52.24904423812124,43.04077187956795,17.0,0.0,0.0,C12,0.433
60571.0,36,65.03807622503393,61.14354516588818,39.478302101285166,44.71734475374733,44.50599822779633,7.0,0.0,0.0,C12,0.597
24925.0,10,53.500642682532096,46.87587004954991,74.72102396497093,63.55467869222097,60.79892670045572,5.0,0.0,0.0,C12,0.669
34531.0,33,66.35293905789479,59.762080423255796,61.724137274106816,61.13993871297242,49.284427205814985,5.0,0.0,0.0,C12,0.63
38860.0,17,29.44608393467581,29.571534214066908,30.059714537575026,62.29066575154427,48.828619909502265,19.0,0.0,0.0,C12,0.496
68688.0,8,41.55834846730085,43.59729665870748,45.056314133442015,52.41071902361369,46.45567887866209,17.0,0.0,0.0,C12,0.367
