Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
54289.0,27,37.47618214103658,38.27940044897796,41.47004605529463,58.514881865602945,46.71610429447853,17.0,0.0,0.0,D13,0.418
57163.0,28,43.80569780567818,49.33412714172205,42.29165775435498,51.01375176304654,51.53946890438826,14.0,0.0,0.0,D13,0.221
96966.0,14,40.53894046858574,42.70589224335303,37.13076372646057,54.185152057245084,42.76369816020857,22.0,0.0,0.0,D13,0.343
81982.0,35,61.51307615750673,64.99540676845314,53.74286162484839,47.18269653052262,45.72018486510859,10.0,0.0,0.0,D13,0.391
53229.0,9,47.906429095905935,33.166871435050105,47.817737767427836,48.56749311294766,44.43990642362803,11.0,0.0,0.0,D13,0.963
48701.0,12,44.53604603397625,47.592488634053375,34.63912822996979,44.715030408340574,45.18446996428648,11.0,0.0,0.0,D13,0.351
39019.0,31,47.76953628671518,49.598478339307775,52.66815933962285,66.41468005018821,52.68034504998388,9.0,0.0,0.0,D13,0.404
45829.0,32,73.17159010977073,66.11532351860733,74.6093413662355,63.859911894273125,52.91514661740938,5.0,0.0,0.0,D13,0.63
48002.0,15,55.735025748841615,45.67040041221551,52.52799394161922,62.43082021541011,46.681663597963826,8.0,0.0,0.0,D13,0.812
104304.0,13,49.60227435373362,49.95479936669833,38.87670536137483,52.24904423812124,43.04077187956795,17.0,0.0,0.0,D13,0.478
60571.0,36,65.22174187653454,61.14354516588818,44.27995203018088,44.71734475374733,44.50599822779633,7.0,0.0,0.0,D13,0.617
24925.0,10,54.4239881485702,46.87587004954991,25.960782033911677,63.55467869222097,60.79892670045572,5.0,0.0,0.0,D13,0.706
34531.0,33,65.90673805029869,59.762080423255796,54.335541165641146,61.13993871297242,49.284427205814985,5.0,0.0,0.0,D13,0.621
38860.0,17,29.28403395150969,29.571534214066908,26.36498212105398,62.29066575154427,48.828619909502265,19.0,0.0,0.0,D13,0.465
68688.0,8,41.70858409600847,43.59729665870748,40.75094393702457,52.41071902361369,46.45567887866209,17.0,0.0,0.0,D13,0.359
98406.0,19,39.21607218493859,42.39241157324724,40.88732503065733,53.0906781317178,47.38010947385948,24.0,0.0,0.0,D13,0.223
48207.0,20,39.11560890525878,29.00754209767147,27.623952790682043,61.56185012549301,50.58974857019532,14.0,0.0,0.0,D13,0.935
44294.0,37,40.08076169768271,34.88770999695022,34.90971665540026,54.71212121212121,50.93055948674403,13.0,0.0,0.0,D13,0.768
81250.0,29,82.77183733183163,86.47547591048908,103.85590389878392,41.396534148827726,48.487983320697495,6.0,0.0,0.0,D13,0.449
77582.0,24,41.917190073889145,42.20516251647334,41.161548301576985,57.69698692438886,52.210450899254084,18.0,0.0,0.0,D13,0.48
46258.0,22,45.881287989415924,44.51481588068407,47.84013751249022,63.320454545454545,56.11134373381959,11.0,0.0,1.0,D13,0.555
39103.0,35,42.46533161087736,41.789195694754774,46.488642553189656,52.437361419068736,55.46722634807879,10.0,0.0,1.0,D13,0.535
44628.0,28,41.06189221014008,48.323796914207,54.51429978169164,62.86604127579737,61.04019448181453,13.0,0.0,1.0,D13,0.14
45329.0,6,44.39673416010779,39.15496963704857,36.63013058076777,61.3413612565445,48.97649956267551,11.0,0.0,1.0,D13,0.742
74728.0,19,37.96977068439056,45.17651216400624,45.24803420119116,50.17744497390515,48.92503946774921,21.0,0.0,1.0,D13,0.074
43297.0,17,40.90284265101893,31.52780854630139,37.7336148590499,72.13285457809695,55.18314557849442,12.0,0.0,1.0,D13,0.905
