Area_of_Cytoplasm,Label,Mean_Of_mean_nn_distances_simulated_1000,Mean_nn_distances_measured,Mean_nn_distances_simulated,Mean_protein_intensity_around_pbodies,Mean_protein_intensity_cytoplasm,Number_of_pbodies,SiteX,SiteY,Well,p-value_measured_lower_1000_sim
54289.0,27,37.52502195103528,38.27940044897796,40.25731669107973,58.514881865602945,46.71610429447853,17.0,0.0,0.0,E07,0.432
57163.0,28,43.307937701479545,49.33412714172205,51.66331692669335,51.01375176304654,51.53946890438826,14.0,0.0,0.0,E07,0.202
96966.0,14,40.67720767838904,42.70589224335303,39.82909866035083,54.185152057245084,42.76369816020857,22.0,0.0,0.0,E07,0.345
81982.0,35,62.04651031294557,64.99540676845314,57.732553972485206,47.18269653052262,45.72018486510859,10.0,0.0,0.0,E07,0.406
53229.0,9,48.067143701777276,33.166871435050105,48.36380980371337,48.56749311294766,44.43990642362803,11.0,0.0,0.0,E07,0.961
48701.0,12,45.19046139645131,47.592488634053375,36.69066659750857,44.715030408340574,45.18446996428648,11.0,0.0,0.0,E07,0.398
39019.0,31,47.02100521560477,49.598478339307775,52.80147619022543,66.41468005018821,52.68034504998388,9.0,0.0,0.0,E07,0.397
45829.0,32,73.27631897897211,66.11532351860733,97.00087083638665,63.859911894273125,52.91514661740938,5.0,0.0,0.0,E07,0.619
48002.0,15,55.13524194082766,45.67040041221551,55.62371009881316,62.43082021541011,46.681663597963826,8.0,0.0,0.0,E07,0.798
104304.0,13,49.119234694548446,49.95479936669833,51.05718709498234,52.24904423812124,43.04077187956795,17.0,0.0,0.0,E07,0.443
60571.0,36,65.07962086380131,61.14354516588818,70.5675369672975,44.71734475374733,44.50599822779633,7.0,0.0,0.0,E07,0.594
24925.0,10,54.40475153988677,46.87587004954991,42.008944618664295,63.55467869222097,60.79892670045572,5.0,0.0,0.0,E07,0.686
34531.0,33,67.13737636103662,59.762080423255796,53.114411333061355,61.13993871297242,49.284427205814985,5.0,0.0,0.0,E07,0.648
38860.0,17,29.438973789893442,29.571534214066908,29.748401699514574,62.29066575154427,48.828619909502265,19.0,0.0,0.0,E07,0.471
68688.0,8,41.83027073929014,43.59729665870748,49.75805710965951,52.41071902361369,46.45567887866209,17.0,0.0,0.0,E07,0.388
98406.0,19,39.42174064792722,42.39241157324724,33.32740994969544,53.0906781317178,47.38010947385948,24.0,0.0,0.0,E07,0.254
48207.0,20,39.161467202964225,29.00754209767147,36.27817098367372,61.56185012549301,50.58974857019532,14.0,0.0,0.0,E07,0.951
